date,open,high,low,close,adj_close,volume,score
2019-5-2,2922.159912,2931.679932,2900.5,2917.52002,2917.52002,3802290000,0.834653873
2019-5-3,2929.209961,2947.850098,2929.209961,2945.639893,2945.639893,3357180000,0.894116394
2019-5-6,2908.889893,2937.320068,2898.209961,2932.469971,2932.469971,3203260000,0.823977583
2019-5-7,2913.030029,2913.030029,2862.600098,2884.050049,2884.050049,3793060000,0.809383282
2019-5-8,2879.610107,2897.959961,2873.280029,2879.419922,2879.419922,3543110000,0.840576089
2019-5-9,2859.840088,2875.969971,2836.399902,2870.719971,2870.719971,3659050000,0.846425376
2019-5-10,2863.100098,2891.310059,2825.389893,2881.399902,2881.399902,3566780000,0.852331705
2019-5-13,2840.189941,2840.189941,2801.429932,2811.870117,2811.870117,3900270000,0.829852487
2019-5-14,2820.120117,2852.540039,2820.120117,2834.409912,2834.409912,3354860000,0.777640705
2019-5-15,2820.379883,2858.679932,2815.080078,2850.959961,2850.959961,3140900000,0.816349106
2019-5-16,2855.800049,2892.149902,2855.800049,2876.320068,2876.320068,3338470000,0.788260486
2019-5-17,2858.600098,2885.47998,2854.22998,2859.530029,2859.530029,3316040000,0.846764958
2019-5-20,2841.939941,2853.860107,2831.290039,2840.22998,2840.22998,3293750000,0.869420272
2019-5-21,2854.02002,2868.879883,2854.02002,2864.360107,2864.360107,3223050000,0.85408255
2019-5-22,2856.060059,2865.469971,2851.110107,2856.27002,2856.27002,3194000000,0.828280297
2019-5-23,2836.699951,2836.699951,2805.48999,2822.23999,2822.23999,3899320000,0.871977974
2019-5-24,2832.409912,2841.360107,2820.189941,2826.060059,2826.060059,2889230000,0.846841614
2019-5-28,2830.030029,2840.51001,2801.580078,2802.389893,2802.389893,4146980000,0.809708645
2019-5-29,2790.25,2792.030029,2766.060059,2783.02002,2783.02002,3701110000,0.778908841
2019-5-30,2786.939941,2799,2776.73999,2788.860107,2788.860107,3276030000,0.806547422
2019-5-31,2766.149902,2768.97998,2750.52002,2752.060059,2752.060059,3982670000,0.838609383
2019-6-3,2751.530029,2763.070068,2728.810059,2744.449951,2744.449951,3952360000,0.804683023
2019-6-4,2762.639893,2804.48999,2762.639893,2803.27002,2803.27002,3814130000,0.838367545
2019-6-5,2818.090088,2827.280029,2800.919922,2826.149902,2826.149902,3570760000,0.796252294
2019-6-6,2828.51001,2852.100098,2822.449951,2843.48999,2843.48999,3445140000,0.848466575
2019-6-7,2852.870117,2884.969971,2852.870117,2873.340088,2873.340088,3244380000,0.850687066
2019-6-10,2885.830078,2904.77002,2885.51001,2886.72998,2886.72998,3209890000,0.804297945
2019-6-11,2903.27002,2910.610107,2878.530029,2885.719971,2885.719971,3551000000,0.8116915
2019-6-12,2882.72998,2888.570068,2874.679932,2879.840088,2879.840088,3039870000,0.825215634
2019-6-13,2886.23999,2895.23999,2881.98999,2891.639893,2891.639893,3100640000,0.862355343
2019-6-14,2886.820068,2894.449951,2879.620117,2886.97998,2886.97998,2992810000,0.842883837
2019-6-17,2889.75,2897.27002,2887.300049,2889.669922,2889.669922,2828400000,0.920679003
2019-6-18,2906.709961,2930.790039,2905.439941,2917.75,2917.75,3441540000,0.7798208
2019-6-19,2920.550049,2931.73999,2911.429932,2926.459961,2926.459961,3300220000,0.818417196
2019-6-20,2949.600098,2958.060059,2931.5,2954.179932,2954.179932,3943060000,0.816149238
2019-6-21,2952.709961,2964.149902,2946.870117,2950.459961,2950.459961,5003540000,0.881843713
2019-6-24,2951.419922,2954.919922,2944.050049,2945.350098,2945.350098,3136960000,0.81068258
2019-6-25,2945.780029,2946.52002,2916.01001,2917.379883,2917.379883,3579430000,0.828124041
2019-6-26,2926.070068,2932.590088,2912.98999,2913.780029,2913.780029,3511350000,0.821913515
2019-6-27,2919.659912,2929.300049,2918.570068,2924.919922,2924.919922,3162500000,0.888411277
2019-6-28,2932.939941,2943.97998,2929.050049,2941.76001,2941.76001,5422650000,0.864283054
2019-7-1,2971.409912,2977.929932,2952.219971,2964.330078,2964.330078,3524860000,0.859815384
2019-7-2,2964.659912,2973.209961,2955.919922,2973.01001,2973.01001,3224490000,0.807521365
2019-7-3,2978.080078,2995.840088,2977.959961,2995.820068,2995.820068,1963570000,0.869802408
2019-7-5,2984.25,2994.030029,2967.969971,2990.409912,2990.409912,2434680000,0.842709219
2019-7-8,2979.77002,2980.76001,2970.090088,2975.949951,2975.949951,2922360000,0.825446605
2019-7-9,2965.52002,2981.899902,2963.439941,2979.629883,2979.629883,3033330000,0.773490196
2019-7-10,2989.300049,3002.97998,2984.620117,2993.070068,2993.070068,3157800000,0.807458465
2019-7-11,2999.620117,3002.330078,2988.800049,2999.909912,2999.909912,3155710000,0.867533714
2019-7-12,3003.360107,3013.919922,3001.870117,3013.77002,3013.77002,2984140000,0.930560495
2019-7-15,3017.800049,3017.800049,3008.77002,3014.300049,3014.300049,2876100000,0.863792692
2019-7-16,3012.129883,3015.02002,3001.149902,3004.040039,3004.040039,3297030000,0.740569434
2019-7-17,3005.100098,3005.26001,2984.25,2984.419922,2984.419922,3185650000,0.809188863
2019-7-18,2978.870117,2998.280029,2973.090088,2995.110107,2995.110107,3369820000,0.787247492
2019-7-19,3004.26001,3006.02002,2975.860107,2976.610107,2976.610107,3285890000,0.852030922
2019-7-22,2981.929932,2990.709961,2976.649902,2985.030029,2985.030029,3016200000,0.84029079
2019-7-23,2994.73999,3005.899902,2988.560059,3005.469971,3005.469971,3333810000,0.874839375
2019-7-24,2998.77002,3019.590088,2996.820068,3019.560059,3019.560059,3433220000,0.870898536
2019-7-25,3016.26001,3016.310059,2997.23999,3003.669922,3003.669922,3657050000,0.939948633
2019-7-26,3013.25,3027.97998,3012.590088,3025.860107,3025.860107,3260170000,0.798956496
2019-7-29,3024.469971,3025.610107,3014.300049,3020.969971,3020.969971,3224490000,0.875532789
2019-7-30,3007.659912,3017.189941,3000.939941,3013.179932,3013.179932,3632770000,0.803146593
2019-7-31,3016.219971,3017.399902,2958.080078,2980.379883,2980.379883,4626330000,0.727773989
2019-8-1,2980.320068,3013.590088,2945.22998,2953.560059,2953.560059,4793810000,0.899053097
2019-8-2,2943.899902,2945.5,2914.110107,2932.050049,2932.050049,3882810000,0.82515094
2019-8-5,2898.070068,2898.070068,2822.120117,2844.73999,2844.73999,4542850000,0.870138206
2019-8-6,2861.179932,2884.399902,2847.419922,2881.77002,2881.77002,4156640000,0.845171368
2019-8-7,2858.649902,2892.169922,2825.709961,2883.97998,2883.97998,4512720000,0.772516385
2019-8-8,2896.209961,2938.719971,2894.469971,2938.090088,2938.090088,4118530000,0.866808792
2019-8-9,2930.51001,2935.75,2900.149902,2918.649902,2918.649902,3356850000,0.864689712
2019-8-12,2907.070068,2907.580078,2873.139893,2882.699951,2882.699951,3328570000,0.798262958
2019-8-13,2880.719971,2943.310059,2877.050049,2926.320068,2926.320068,3857190000,0.800077764
2019-8-14,2894.149902,2894.149902,2839.639893,2840.600098,2840.600098,4325150000,0.848137277
2019-8-15,2846.199951,2856.669922,2825.51001,2847.600098,2847.600098,4041720000,0.833405343
2019-8-16,2864.73999,2893.629883,2864.73999,2888.679932,2888.679932,3524080000,0.853551396
2019-8-19,2913.47998,2931,2913.47998,2923.649902,2923.649902,3221050000,0.822463274
2019-8-20,2919.01001,2923.629883,2899.600098,2900.51001,2900.51001,3067710000,0.875908679
2019-8-21,2922.040039,2928.72998,2917.909912,2924.429932,2924.429932,3016540000,0.797821489
2019-8-22,2930.939941,2939.080078,2904.51001,2922.949951,2922.949951,2893660000,0.861848968
2019-8-23,2911.070068,2927.01001,2834.969971,2847.110107,2847.110107,3942520000,0.810902759
2019-8-26,2866.699951,2879.27002,2856,2878.379883,2878.379883,2859790000,0.852957726
2019-8-27,2893.139893,2898.790039,2860.590088,2869.159912,2869.159912,3537490000,0.793970692
2019-8-28,2861.280029,2890.030029,2853.050049,2887.939941,2887.939941,3102480000,0.854004705
2019-8-29,2910.370117,2930.5,2905.669922,2924.580078,2924.580078,3177150000,0.864839941
2019-8-30,2937.090088,2940.429932,2913.320068,2926.459961,2926.459961,3009910000,0.855595727
2019-9-3,2909.01001,2914.389893,2891.850098,2906.27002,2906.27002,3427830000,0.850515342
2019-9-4,2924.669922,2938.840088,2921.860107,2937.780029,2937.780029,3167900000,0.849904276
2019-9-5,2960.600098,2985.860107,2960.600098,2976,2976,3902600000,0.759788761
2019-9-6,2980.330078,2985.030029,2972.51001,2978.709961,2978.709961,3209340000,0.827215107
2019-9-9,2988.429932,2989.429932,2969.389893,2978.429932,2978.429932,4031120000,0.918437993
2019-9-10,2971.01001,2979.389893,2957.01001,2979.389893,2979.389893,4393040000,0.706829723
2019-9-11,2981.409912,3000.929932,2975.310059,3000.929932,3000.929932,3934370000,0.873508524
2019-9-12,3009.080078,3020.73999,3000.919922,3009.570068,3009.570068,3796990000,0.807065309
2019-9-13,3012.209961,3017.330078,3002.899902,3007.389893,3007.389893,3557010000,0.841401216
2019-9-16,2996.409912,3002.189941,2990.669922,2997.959961,2997.959961,4285860000,0.830189849
2019-9-17,2995.669922,3006.209961,2993.72998,3005.699951,3005.699951,3673250000,0.876034769
2019-9-18,3001.5,3007.830078,2978.570068,3006.72998,3006.72998,3458800000,0.825827062
2019-9-19,3010.360107,3021.98999,3003.159912,3006.790039,3006.790039,3265660000,0.838307976
2019-9-20,3008.419922,3016.370117,2984.679932,2992.070068,2992.070068,6103440000,0.759137821
2019-9-23,2983.5,2999.149902,2982.22998,2991.780029,2991.780029,3187250000,0.85681005
2019-9-24,3002.429932,3007.97998,2957.72998,2966.600098,2966.600098,3872800000,0.815863003
2019-9-25,2968.350098,2989.820068,2952.860107,2984.870117,2984.870117,3331200000,0.807754755
2019-9-26,2985.72998,2987.280029,2963.709961,2977.620117,2977.620117,3084910000,0.903819539
2019-9-27,2985.469971,2987.310059,2945.530029,2961.790039,2961.790039,3246480000,0.798902584
